GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANNYE001,ANNYE002,ANNYE003,ANNYE004,ANNYE005,ANNYE006,ANNYE007,ANNYE008,ANNYE009,ANNYE010,ANNYE011,ANNYE012,ANNYE013,ANNYE014,ANNYE015,ANNYE016,ANNYE017,ANNYE018,ANNYE019,ANNYE020,ANNYE021,ANNYE022,ANNYE023,ANNYE024,ANNYE025,ANNYE026,ANNYE027,ANNYE028,ANNYE029,ANNYE030,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,ANZHE001,ANZSE001,NAME_M,ANNYM001,ANNYM002,ANNYM003,ANNYM004,ANNYM005,ANNYM006,ANNYM007,ANNYM008,ANNYM009,ANNYM010,ANNYM011,ANNYM012,ANNYM013,ANNYM014,ANNYM015,ANNYM016,ANNYM017,ANNYM018,ANNYM019,ANNYM020,ANNYM021,ANNYM022,ANNYM023,ANNYM024,ANNYM025,ANNYM026,ANNYM027,ANNYM028,ANNYM029,ANNYM030,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017,ANZHM001,ANZSM001
"G5100950","2021","VA",,,"Virginia","51","James City County","095",,,,,,,,,,,,,,,,,,"0500000US51095","51095","James City County, Virginia",57829,2570,12552,13000,15608,14099,19890,1441,5656,5775,4508,2510,32458,807,5322,6220,9793,10316,1466,0,555,282,319,310,4015,322,1019,723,988,963,31060,1065,505,461,873,343,1192,557,976,1303,2463,3101,4449,3583,3034,2641,4514,88604,3813550300,"James City County, Virginia",1444,1031,2074,1987,2042,1840,2052,664,1466,1353,1176,721,2072,607,1095,1310,1554,1528,776,216,548,264,272,301,1056,264,553,501,643,480,1203,595,503,244,586,278,600,357,535,741,881,1121,1169,1020,1176,813,944,7936,405106631
"G5101070","2021","VA",,,"Virginia","51","Loudoun County","107",,,,,,,,,,,,,,,,,,"0500000US51107","51107","Loudoun County, Virginia",278210,15829,27779,52953,96334,85315,45341,2188,6252,10870,16989,9042,129362,1085,11527,26882,47284,42584,6679,63,200,1514,1583,3319,96828,12493,9800,13687,30478,30370,141935,2888,940,857,1707,1203,1197,2313,2802,2606,3385,6708,14638,13239,13580,24637,49235,153506,25274871100,"Loudoun County, Virginia",472,2488,2780,4011,3935,3928,3701,689,1302,1671,2136,1727,4437,437,1562,3152,3520,3549,1495,103,192,639,616,1058,4526,2428,1946,2040,3157,3132,782,897,464,406,632,467,524,873,991,795,825,1482,1754,2090,2079,2211,3117,4520,783411890
"G5101210","2021","VA",,,"Virginia","51","Montgomery County","121",,,,,,,,,,,,,,,,,,"0500000US51121","51121","Montgomery County, Virginia",55769,2000,13019,14043,12257,14450,28108,1315,9551,8541,5223,3478,22757,519,3092,4908,5818,8420,542,0,0,190,190,162,4362,166,376,404,1026,2390,37796,5231,1845,1923,2178,480,2254,1747,611,1234,2326,3521,4229,3606,2825,1671,2115,55210,2852272500,"Montgomery County, Virginia",971,909,2303,2159,2257,1831,2662,717,2175,1835,1346,1310,2683,433,910,1207,1287,1758,381,216,216,240,214,199,1069,278,326,354,660,854,1734,1494,953,879,807,322,1035,869,398,719,852,1013,1103,963,931,707,700,8687,214601304
"G5101530","2021","VA",,,"Virginia","51","Prince William County","153",,,,,,,,,,,,,,,,,,"0500000US51153","51153","Prince William County, Virginia",312284,29286,69804,78608,78048,56538,58957,3124,16516,15928,16200,7189,131494,2912,20680,35814,38587,33501,9847,402,2083,2768,2300,2294,111986,22848,30525,24098,20961,13554,154619,4036,2314,2088,2383,3178,1943,3789,3995,2930,8630,10929,19004,16975,17807,23422,31196,118117,20918337500,"Prince William County, Virginia",261,2841,4689,4428,4191,3748,4290,1027,2547,2032,2197,1537,4603,899,2997,3393,2997,2695,1781,406,815,1037,779,807,5779,3053,4433,3532,2786,2221,1652,1162,843,750,873,1151,661,1014,1007,985,1627,1959,2297,2304,2127,2216,2297,5660,507829736
"G5101610","2021","VA",,,"Virginia","51","Roanoke County","161",,,,,,,,,,,,,,,,,,"0500000US51161","51161","Roanoke County, Virginia",70767,4892,19098,20343,16680,9754,39774,2896,12949,11689,8489,3751,25219,692,5066,7464,6863,5134,614,153,102,94,129,136,5160,1151,981,1096,1199,733,39093,2615,1043,1506,2294,1574,1458,969,1368,1159,2564,3356,6179,4086,2608,3275,3039,72231,3723041600,"Roanoke County, Virginia",478,1245,2357,2149,1951,1594,2651,894,1881,1676,1446,841,2622,516,1368,1643,1284,1240,505,218,162,188,202,169,1160,659,553,512,668,357,1231,950,540,672,783,623,720,419,540,448,796,949,1158,1101,866,852,924,8159,351063559
"G5101650","2021","VA",,,"Virginia","51","Rockingham County","165",,,,,,,,,,,,,,,,,,"0500000US51165","51165","Rockingham County, Virginia",58776,7864,19867,12766,10726,7553,34807,4635,14332,8265,5078,2497,18746,1232,4813,3497,4674,4530,584,115,13,220,222,14,4639,1882,709,784,752,512,32551,645,1281,746,1062,979,1457,1616,1431,1169,2697,3718,5182,3656,2033,3012,1867,73163,2936959000,"Rockingham County, Virginia",427,1562,1768,1679,1613,1456,1891,1431,1679,1491,1046,792,2057,571,858,908,991,1186,346,189,25,190,166,23,813,721,482,464,464,358,985,302,656,385,447,427,715,610,593,585,820,885,1067,873,789,784,588,4918,220462369
"G5101770","2021","VA",,,"Virginia","51","Spotsylvania County","177",,,,,,,,,,,,,,,,,,"0500000US51177","51177","Spotsylvania County, Virginia",96937,9299,25185,28893,20503,13057,34715,3641,12001,10445,5827,2801,48663,1832,11083,14809,12687,8252,2334,354,360,1096,135,389,11225,3472,1741,2543,1854,1615,51179,1861,894,1068,1394,831,753,1254,1041,1387,3569,5112,5795,7914,4674,6894,6738,101289,5921860400,"Spotsylvania County, Virginia",936,2039,2515,2406,2037,1722,2463,1135,2000,1488,1169,860,2864,837,1555,1926,1858,1302,902,348,299,488,133,260,1640,1264,687,759,673,666,1016,879,536,560,749,361,367,472,622,558,1133,1226,1076,1290,1194,1352,1069,4990,338264496
"G5101790","2021","VA",,,"Virginia","51","Stafford County","179",,,,,,,,,,,,,,,,,,"0500000US51179","51179","Stafford County, Virginia",103289,6925,20749,28937,28183,18495,26857,2038,7477,8499,5463,3380,56227,1966,8543,16342,17482,11894,2976,187,655,545,910,679,17229,2734,4074,3551,4328,2542,51007,2046,356,309,549,1174,1224,665,1143,1087,2998,4894,5071,6408,5446,7316,10321,117251,7061508500,"Stafford County, Virginia",1246,1562,2431,2515,2363,2512,2868,727,1588,1537,1278,1098,3388,1149,1606,2072,1995,2045,996,278,463,322,487,534,2280,955,1354,1151,1414,979,1331,947,247,246,366,506,617,456,417,559,903,1128,1130,1182,1409,1213,1375,6289,580925016
"G5101990","2021","VA",,,"Virginia","51","York County","199",,,,,,,,,,,,,,,,,,"0500000US51199","51199","York County, Virginia",49016,2049,8017,15586,13452,9912,14663,317,3849,5124,3583,1790,26985,459,3560,8329,7357,7280,2112,454,70,912,557,119,5256,819,538,1221,1955,723,26641,607,277,603,556,643,406,1079,536,294,2089,2412,4370,4049,2613,3360,2747,97758,3013993500,"York County, Virginia",788,920,1333,1616,1716,1767,1710,253,915,1041,877,620,1817,296,903,1359,1328,1596,909,676,116,466,413,169,1094,523,354,504,729,335,780,420,279,420,333,496,355,691,314,213,754,920,1011,944,828,801,706,6308,246534492
"G5105100","2021","VA",,,"Virginia","51","Alexandria city","510",,,,,,,,,,,,,,,,,,"0500000US51510","51510","Alexandria city, Virginia",118235,7107,13196,20635,34691,42606,15043,746,2125,3032,4816,4324,66876,1112,3461,9883,21866,30554,4405,166,389,983,1223,1644,31911,5083,7221,6737,6786,6084,72024,4209,1286,2393,989,644,2052,1041,1709,2285,3222,6540,9098,7161,6332,8753,14310,101162,10186122200,"Alexandria city, Virginia",490,1517,2064,2082,2934,3014,2384,487,808,1170,1056,1174,3146,551,929,1578,2488,2773,1250,290,330,426,596,688,3412,1333,2239,1690,1386,1303,2137,1343,629,764,417,409,732,615,744,964,831,1372,1375,1241,1247,1614,1537,5048,654533623
"G5105500","2021","VA",,,"Virginia","51","Chesapeake city","550",,,,,,,,,,,,,,,,,,"0500000US51550","51550","Chesapeake city, Virginia",167938,10821,41150,52130,40164,23673,73287,5640,21671,20878,17577,7521,79561,3641,16883,26630,18659,13748,2745,251,314,1113,435,632,12345,1289,2282,3509,3493,1772,93849,4357,2156,1767,2540,4201,3221,1906,2067,3695,6168,8236,12114,12325,7008,11949,10139,88815,9967458700,"Chesapeake city, Virginia",961,1735,3962,3299,3636,2682,4009,1325,2788,2567,2303,1445,4675,1091,2417,3225,2794,2114,970,313,231,547,405,365,1868,1048,850,1028,987,708,1160,1418,1080,723,918,1508,1197,698,751,1246,1487,1526,2401,1857,1519,1990,1595,5808,398510929
"G5106500","2021","VA",,,"Virginia","51","Hampton city","650",,,,,,,,,,,,,,,,,,"0500000US51650","51650","Hampton city, Virginia",92008,5567,26985,33383,15607,10466,38023,2630,11931,12959,6517,3986,45624,2181,12975,17051,7940,5477,2276,116,702,963,278,217,6085,640,1377,2410,872,786,58181,2534,1724,2513,3126,3215,2395,1765,3269,3602,6153,5347,6980,5173,3742,3381,3262,57647,4758520100,"Hampton city, Virginia",647,1323,3153,3170,1844,2001,2648,803,2100,2157,1171,1452,2890,790,2635,2176,1382,1212,709,185,413,583,219,207,1412,435,742,758,490,554,1422,811,777,958,894,1023,798,728,1125,1143,1530,1162,1375,1271,1305,956,1033,4671,476978138
"G5106800","2021","VA",,,"Virginia","51","Lynchburg city","680",,,,,,,,,,,,,,,,,,"0500000US51680","51680","Lynchburg city, Virginia",43640,4991,8928,10220,11589,7912,22544,3248,6275,6487,4582,1952,17243,997,2474,3352,6000,4420,1409,658,0,120,165,466,2444,88,179,261,842,1074,28346,2124,1349,1194,1818,712,1581,1486,1674,1302,2100,2638,3335,2120,1509,1781,1623,56110,2377172500,"Lynchburg city, Virginia",847,1284,1411,1559,1982,1435,1749,970,1201,1122,1162,767,1755,545,746,1044,1423,964,917,838,216,186,200,395,854,139,188,307,653,543,1501,801,567,668,809,374,784,802,674,595,804,1060,911,633,596,693,662,9531,377785934
